Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
8.4,9.6,17.6,15.6,35.5,41.3,12086002202
7.3,7.6,12.2,12.0,27.0,35.3,12086002201
6.1,6.7,10.6,10.6,25.4,32.9,12086002100
9.1,11.0,19.7,17.5,38.9,44.6,12086001904
9.2,6.5,16.9,11.6,28.8,32.6,12086001603
9.2,10.8,19.9,18.2,40.0,45.0,12086001801
8.5,7.2,17.0,14.1,32.1,35.0,12086001606
10.5,7.3,19.5,14.2,32.6,34.9,12086001605
7.4,10.7,16.9,17.2,38.2,44.8,12086001903
9.7,11.0,20.5,18.9,40.1,44.6,12086002003
6.8,5.8,10.7,8.1,21.9,28.1,12086003922
9.0,10.6,19.0,18.2,37.8,43.6,12086002004
5.7,5.9,8.4,8.0,20.3,27.8,12086003919
11.8,8.1,22.4,17.2,36.8,37.0,12086000807
7.1,10.4,15.8,16.0,35.7,43.4,12086001901
9.4,12.0,22.4,20.1,43.9,48.0,12086001502
7.3,12.4,17.3,22.2,41.4,47.0,12086001501
10.5,11.3,21.9,19.0,40.7,45.2,12086002001
8.8,6.8,16.8,12.8,30.1,33.6,12086000804
9.5,6.9,17.6,12.8,30.2,33.5,12086000805
4.8,6.2,7.3,8.1,20.0,27.7,12086003906
9.1,7.0,17.2,13.4,31.0,34.3,12086000808
7.5,6.9,14.7,13.0,29.6,34.0,12086000712
4.9,7.1,9.3,10.8,25.8,34.3,12086001302
9.7,11.1,19.8,18.1,38.5,43.9,12086001401
6.3,5.5,10.5,7.5,21.5,27.7,12086003921
6.5,10.9,15.6,19.2,39.0,45.2,12086001004
10.7,7.4,20.1,14.6,33.1,34.9,12086000710
11.5,7.5,20.5,15.1,33.1,35.3,12086000806
8.7,11.2,18.7,19.0,38.8,44.5,12086001402
4.2,9.3,10.1,15.5,31.2,40.6,12086001002
9.0,7.1,17.3,13.3,31.1,34.5,12086000711
7.6,8.7,14.9,15.1,32.7,38.8,12086001301
9.1,6.8,17.0,12.6,30.0,33.7,12086000605
9.5,6.8,17.4,12.4,29.5,33.3,12086000709
7.1,6.8,12.6,11.8,26.8,32.4,12086003914
6.3,6.8,12.0,12.0,27.5,33.2,12086003915
10.3,7.5,19.4,15.1,33.4,35.6,12086000608
5.4,6.7,10.5,11.7,26.9,33.4,12086003916
9.8,6.8,17.7,12.4,29.6,33.0,12086000607
6.1,6.5,11.8,11.2,27.1,32.6,12086003913
9.0,6.9,16.9,12.3,29.0,33.0,12086000706
8.0,6.7,15.7,12.1,29.0,33.2,12086000707
10.6,6.9,19.1,12.1,29.1,32.1,12086000705
8.9,6.6,16.2,11.6,27.9,32.3,12086000708
9.5,7.0,17.4,12.7,29.5,33.4,12086000604
7.3,7.2,13.6,13.2,29.3,34.5,12086003911
9.4,6.7,14.9,11.3,26.8,32.0,12086003909
8.4,6.6,15.7,12.0,28.8,33.2,12086000603
5.9,6.8,11.0,11.6,26.4,33.2,12086003912
10.9,6.7,18.9,11.9,29.0,31.9,12086009315
7.7,7.1,15.7,13.9,31.2,34.7,12086013600
6.7,7.2,14.5,14.2,31.5,35.6,12086013800
8.8,7.2,17.6,13.7,31.4,34.2,12086009314
9.0,7.0,16.6,12.9,29.7,33.3,12086000602
8.1,6.6,15.4,11.7,28.4,32.6,12086009311
9.2,6.8,17.1,12.4,29.8,33.2,12086000601
7.2,6.2,13.5,10.0,25.7,31.1,12086009200
6.2,6.7,13.2,12.6,29.3,34.1,12086013400
7.0,7.0,14.1,13.3,29.4,34.4,12086013500
8.0,6.7,15.4,12.1,28.7,33.1,12086009309
5.8,9.6,14.3,17.2,47.0,37.7,48061014100
6.6,9.6,16.3,16.9,46.5,37.1,48061013309
6.7,9.4,16.3,16.7,46.9,36.7,48061013308
8.2,9.8,18.7,17.2,47.9,37.1,48061013307
6.2,6.4,12.8,11.2,27.2,32.8,12086013200
6.3,6.4,13.0,11.0,26.9,32.4,12086013000
9.0,7.6,17.9,16.0,34.2,36.2,12086009308
8.8,7.3,17.0,14.0,31.1,34.4,12086000505
5.6,6.6,12.3,12.3,28.9,34.2,12086012600
8.4,7.1,16.0,13.4,30.1,34.2,12086009306
6.1,6.6,13.1,12.0,28.7,33.5,12086012900
6.5,6.9,14.1,13.1,30.4,34.5,12086013100
8.0,7.3,16.0,14.1,31.1,34.8,12086009307
8.6,9.9,19.8,17.7,48.7,37.5,48061013306
10.7,9.5,21.0,16.4,45.7,35.2,48061014001
6.7,9.1,16.3,15.6,45.8,36.3,48061013305
10.7,9.7,22.6,17.1,49.0,36.4,48061013802
9.5,9.8,20.5,17.0,47.8,36.5,48061013903
8.3,9.4,18.4,15.8,45.7,35.7,48061013902
10.7,10.2,22.3,18.0,48.8,36.9,48061014002
10.9,10.3,23.0,19.5,51.5,38.5,48061013801
7.1,8.9,15.8,14.9,44.9,35.6,48061014300
9.8,9.8,21.6,17.4,49.1,37.0,48061013901
10.7,10.5,23.0,19.3,50.7,37.7,48061013700
8.7,9.5,18.9,15.8,45.4,35.7,48061013402
8.3,10.0,18.5,17.1,37.9,42.5,12086000504
7.9,10.3,17.7,15.9,37.2,43.7,12086000403
8.1,8.9,18.1,14.6,45.2,35.4,48061012800
10.1,10.0,21.7,17.8,49.3,37.1,48061013401
7.5,7.8,15.1,10.4,38.5,30.7,48061013500
8.3,8.7,17.3,13.9,43.0,34.3,48061013600
5.8,9.3,13.1,15.7,32.6,40.2,12086000501
7.6,9.7,17.9,17.9,49.1,38.1,48061013206
8.7,10.1,18.6,16.0,37.4,43.6,12086000402
6.0,8.6,14.5,14.3,44.2,35.3,48061013303
6.6,9.2,15.6,15.6,45.1,36.3,48061013205
7.9,9.4,17.7,15.9,46.3,36.4,48061013204
8.3,10.8,18.1,16.5,37.4,44.2,12086000414
11.5,9.7,22.9,16.3,48.0,36.0,48061013207
7.9,9.2,17.8,15.6,46.0,35.8,48061013106
7.8,7.9,16.4,11.2,40.4,32.0,48061013004
